NAME,TYPE,AREA,LOCATION,PIN,LAT,LON
My Green Bin-greenrich India grow private limited,Incineration,Maduravoyal,Chennai,Tamil Nadu 600095,13.06385613,80.17336134
Industrial Waste Management Association,Incineration,Koyambedu,Chennai,Tamil Nadu 600107,13.07085752,80.2031296
Chennai Corporation Dump Yard,Incineration,Kodungaiyur,Chennai,Tamil Nadu 600118,13.13552379,80.26956616
Waste Chakra Pvt Ltd - Plastic Pyrolysis Plant Plastic Recycling services,Incineration,Tharamani,Chennai,Tamil Nadu 600113,12.99121161,80.24183433
E.R.VENTURES,Incineration,Tiruvottiyur,Chennai,Tamil Nadu 600019,13.16088005,80.302717
Carbon Loops,Incineration,Palavakkam,Chennai,Tamil Nadu 600041,12.96546482,80.26231506
Tamil Nadu Waste Management Limited,Incineration,Gummidipoondi,Chennai,Tamil Nadu 601201,13.40682419,80.09956178
Indo German Centre For Sustainability,Incineration,Guindy,Chennai,Tamil Nadu 600036,12.98999831,80.22727891
Godwill Energy Products Private Limited,Incineration,Iyyappanthangal,Chennai,Tamil Nadu 600077,13.04875518,80.14206338
Chennai Centre for China Studies,Incineration,Teynampet,Chennai,Tamil Nadu 600018,13.03456869,80.24662655
Apollo Proton Cancer Centre,Incineration,Tharamani,Chennai,Tamil Nadu 600096,12.98033827,80.24992998
Calderys India Refractories Ltd,Incineration,Chetpet,Chennai,Tamil Nadu 600031,13.07598106,80.2364719
Natco Pharma Limited,Incineration,Manali,Chennai,Tamil Nadu 600103,13.18922581,80.26643511
Navneeth Raghavan(Daily Dump Partner),Compost pit,Nungambakkam,Chennai,Tamil Nadu 600006,13.06181508,80.24710645
Compost Yard,Compost pit,Madhanandapuram,Chennai,Tamil Nadu 600125,13.0177635,80.1567704
Natural Fertilizer And Vermi Compost Yard And Sales Depot,Compost pit,Tirusulam,Chennai,Tamil Nadu 600027,12.98023575,80.16438815
Parisudh Eco Concepts Private Limited,Compost pit,Adyar,Chennai,Tamilnadu 600020,13.00117377,80.25388238
MyOwnGarden Agri Products,Compost pit,Medavakkam,Chennai,Tamil Nadu 600100,12.92593157,80.18268597
The Garden Store Chennai,Compost pit,Alwarpet,Chennai,Tamil Nadu 600018,13.03508109,80.25223803
VNS Enviro Biotechq Private Limited,Compost pit,Madipakkam,Chennai,Tamil Nadu 600091,12.96398054,80.18675234
SPH Enterprises,Compost pit,Mangadu,Chennai,Tamil Nadu 600122,13.48311872,80.10406491
Namma Boomi,Compost pit,Adyar,Chennai,Tamil Nadu 600020,12.99487445,80.25354022
LSN Vermicompost,Compost pit,Avadi,Chennai,Tamil Nadu 600071,13.10893717,80.09594291
AnushikA Agri Products Vermicompost Garden Center,Compost pit,Old Perungalathur,Chennai,Tamil Nadu 600063,12.91330239,80.08461968
WasteWing Technologies,Compost pit,OMR,Chennai,Tamil Nadu 600130,12.86417606,80.20690287
Sree Ram Eco Systems,Compost pit,Chromepet,Chennai,Tamil Nadu 600044,12.9420349,80.14522727
Vignesh Aravind Transports,Compost pit,Kovilambakkam,Chennai,Tamil Nadu 600129,12.93456595,80.18286291
RK Pattarai,Compost pit,Chromepet,Chennai,Tamil Nadu 600044,12.95245155,80.15707484
SKV E-waste Recycling,E-waste,Vadapalani,Chennai,Tamil Nadu 600026,13.05557607,80.21344877
RK E-waste Collection and Recycling Centre,E-waste,Shenoy Nagar,Chennai,Tamil Nadu 600030,13.080347,80.22207118
Electronic Waste Company,E-waste,Kolathur,Chennai,Tamil Nadu 600099,13.13071151,80.21244839
Sree E Waste Recycling,E-waste,Velachery,Chennai,Tamil Nadu 600042,13.00642672,80.22474359
SEZ Recycling,E-waste,Chengalpet,Chennai,Tamil Nadu 603004,13.0827896,80.19990504
Ecosible Recyclers Pvt Ltd,E-waste,Ambattur,Chennai,Tamil Nadu 600098,13.10824272,80.16111627
E-waste collection vendor,E-waste,Chintadripet,Chennai,Tamil Nadu 600002,13.06860572,80.26938825
Royal Traders-computer E-waste scrap and IT Scrap Buyers,E-waste,K. K. Nagar,Chennai,Tamil Nadu 600078,13.09086114,80.19534935
Earth Sense Recycle Pvt. Ltd.,E-waste,Raja Annamalai Puram,Chennai,Tamil Nadu 600028,13.02722135,80.27183258
Genbruge Solutions Pvt Ltd,E-waste,Ambattur,Chennai,Tamil Nadu 600058,13.09320349,80.16088951
e waste-scrap,E-waste,Saidapet,Chennai,Tamil Nadu 600015,13.02371825,80.22371797
Earth Recycler Private Ltd,E-waste,George Town,Chennai,Tamil Nadu 600108,13.08857744,80.28237091
E-Clean Enterprises,E-waste,Adambakkam,Chennai,Tamil Nadu 600042,12.99271565,80.20359593
,,,,,,
